dataset,metric,value,calculation,evidence,status,source,note
flaw,#7 Weak content engagement & surfacing,P1,impact/effort: see matrix,OBSERVED,OBSERVATION,"First-time-user walkthrough | Stage 2 codebase audit (free-tier entitlements, daily_activity writers) | Backlog register P1-5, P1-7, P1-8","Category: Engagement | Severity: Medium | Confidence: Medium | Funnel stage: Daily engagement → Return visit | Diagnosis: Content that exists and would bring users back is broken, hidden or unexplained — including a broken image on the daily-return hook itself."
flaw,#8 Extremely weak monetization performance,P0,impact/effort: see matrix,CONFIRMED,CONFIRMED,"Stage 3 production queries (payments) | Founder confirmation (staff comps, internal customer) | Final Growth Verification §1, §4, §10, §11 | Backlog register P1-9, P1-10","Category: Monetization | Severity: Critical | Confidence: High | Funnel stage: Payment (outcome) | Diagnosis: 682 users, 83 days, ₹899 of all-time revenue — and every rupee of it internally generated. Externally-acquired revenue is ₹0."
flaw,#9 Unused conversion & recovery mechanisms,P1,impact/effort: see matrix,CONFIRMED,CONFIRMED,"Stage 3 production queries (payments created rows, timestamps, used_coupon) | Stage 2 codebase audit (coupon system, promoter tracking, absence of recovery) | First-time-user walkthrough | Final Growth Verification §6, §11 | Backlog register P1-11, P1-12","Category: Monetization | Severity: High | Confidence: High | Funnel stage: Checkout → Payment → Recovery | Diagnosis: 11 people accepted a price and did not pay, the oldest 79 days ago — and nothing follows up. A complete coupon and promoter system sits fully built and has never been used once."
flaw,#10 Weak organic discoverability,P2,impact/effort: see matrix,CONFIRMED,CONFIRMED,"Stage 1 external audit (sitemap, metadata, search, competitors, robots.txt, structured data) | First-time-user walkthrough (search visibility) | Stage 3 production queries (signup trend, used as counterweight) | Backlog register P2-1, P2-2, P2-3","Category: Acquisition | Severity: Medium | Confidence: High | Funnel stage: Discovery | Diagnosis: Five URLs in the sitemap, zero third-party mentions anywhere, and absent from the category's primary search — a genuine weakness, but NOT the current bottleneck."
flaw,#11 Poor public product & commercial visibility,P2,impact/effort: see matrix,CONFIRMED (pricing) · DATA GAP (app stores),CONFIRMED,"Stage 1 external audit (pricing page, store search, competitor set) | Stage 2 codebase audit (IAP product IDs, Capacitor configuration) | Final Growth Verification §17 (pending founder answers) | Backlog register P2-4, P2-6","Category: Acquisition | Severity: Medium | Confidence: Medium | Funnel stage: Discovery → Landing | Diagnosis: The price cannot be seen without signing up, and no app-store listing was found — though absence of a search result is not proof of absence."
flaw,#12 No acquisition attribution,P1,impact/effort: see matrix,CONFIRMED,CONFIRMED,"Stage 2 codebase audit (exhaustive schema search) | Stage 3 production queries (signup trend) | Latest acquisition verification (monthly and trailing-window signups) | Final Growth Verification §3, §17 | Backlog register P2-7. PRIORITY NOTE: Stage 2 ranked this P1; the Final Verification ranked it P2. It is assigned P1 here because acquisition is now confirmed to be growing, which raises the cost of not knowing the source. The disagreement is disclosed rather than silently resolved.",Category: Measurement | Severity: High | Confidence: High | Funnel stage: Discovery → Signup (measurement across all stages) | Diagnosis: Signups grew from 19 to 226 to 396 a month — and there is no column anywhere in the schema that could say where any of them came from.
flaw,#13 Incomplete product analytics & event tracking,P1,impact/effort: see matrix,CONFIRMED,CONFIRMED,"Stage 2 codebase audit (exhaustive call-site enumeration, revenue_metrics.sql, get_platform_metrics()) | Stage 3 production queries (timezone validation, abandonment scope) | Final Growth Verification §9, §12 | Backlog register P2-8, P2-9, P2-10, P2-12","Category: Measurement | Severity: High | Confidence: High | Funnel stage: All stages (measurement layer) | Diagnosis: The funnel has no top, no pricing-view denominator, no abandonment signal from any paid format, and a signup event that misses everyone who uses Google."
flaw,#14 Weak customer feedback & behavioural intelligence,P2,impact/effort: see matrix,CONFIRMED,CONFIRMED,"Stage 3 production queries (app_feedback) | Latest feedback verification (individual rating values) | Stage 2 codebase audit (FeedbackModal gating, client and server) | Final Growth Verification §8, §18 | Backlog register P2-11","Category: Measurement | Severity: Medium | Confidence: High | Funnel stage: Post-activation (voice of customer) | Diagnosis: Six star ratings from 682 users, averaging 4.33 — and not one word of written feedback. There is no qualitative user data in the entire system."
flaw_traceability,P0-1,Flaw #1,,UX + PROD,,,The product asks for money before establishing value
flaw_traceability,P0-4,Flaw #1,,UX,,,The value moment (Revision / Insights) is discovered late and by accident
flaw_traceability,P1-4,Flaw #1,,UX,,,"Premium upsell appears in every section, while purchase desire is zero"
flaw_traceability,P2-5,Flaw #1,,CODE + EXT,,,No social proof anywhere on the landing or pricing surfaces
flaw_traceability,P0-2,Flaw #2,,UX + CODE + PROD,,,The five plans are indistinguishable to a user; entitlement rules genuinely overlap
flaw_traceability,V-2,Flaw #2,,PROD,,,premium_annual draws 57% of all purchase attempts and has converted zero times
flaw_traceability,P0-3,Flaw #3,,CODE + UX,,,Expired offer live on the paid-ads landing page; the price does not auto-revert
flaw_traceability,P1-1,Flaw #4,,UX + PROD,,,No orientation for a new user after signup
flaw_traceability,P1-2,Flaw #4,,UX,,,3–4 taps to reach a test
flaw_traceability,P1-3,Flaw #4,,UX + CODE,,,Popup overload at first run — five competing entry modals
flaw_traceability,P1-1,Flaw #5,,PROD,,,Registration → first meaningful action is where half the base is lost
flaw_traceability,P1-6,Flaw #6,,PROD,,,Nothing brings users back
flaw_traceability,P3-5,Flaw #6,,CODE,,,"The habit loop ignores partial effort — streaks, XP and badges are written only by submit_test"
flaw_traceability,P2-12,Flaw #6,,CODE,,,"daily_activity only logs test submissions, so every retention figure is a floor"
flaw_traceability,P1-5,Flaw #7,,UX,,,Images not loading in Current Affairs
flaw_traceability,P1-7,Flaw #7,,UX,,,Free tier under-communicated
flaw_traceability,P1-8,Flaw #7,,UX,,,Kural of the Day has no prompt or surfacing
flaw_traceability,P1-9,Flaw #8,,PROD,,,One real customer in 83 days; ₹899 all-time revenue
flaw_traceability,P1-10,Flaw #8,,FOUNDER + PROD,,,"Three ""premium"" accounts are staff comps at ₹0, not customers"
flaw_traceability,V-1,Flaw #8,,FOUNDER + PROD,,,Externally-acquired paying customers: 0 of 682
flaw_traceability,V-7,Flaw #8,,PROD,,,366 signups in the last 30 days produced 0 new paying customers
flaw_traceability,P1-11,Flaw #9,,PROD + UX,,,Zero coupon redemptions in 83 days; no discoverable path to a code
flaw_traceability,P1-12,Flaw #9,,PROD,,,"20 abandoned orders from 11 identifiable people, with no recovery mechanism of any kind"
flaw_traceability,P2-1,Flaw #10,,EXT + UX,,,Invisible in search; zero third-party mentions or reviews for the brand
flaw_traceability,P2-2,Flaw #10,,EXT,,,Sitemap contains 5 URLs — home plus 4 legal pages
flaw_traceability,P2-3,Flaw #10,,EXT,,,Identical title and meta description on every route
flaw_traceability,P2-4,Flaw #11,,EXT,,,"No public, indexable pricing page — pricing renders only inside the app shell"
flaw_traceability,P2-6,Flaw #11,,EXT + CODE,,,"No app-store presence found, despite real IAP product IDs in the codebase"
flaw_traceability,P2-7,Flaw #12,,CODE,,,"Zero acquisition attribution — no utm_source, medium, campaign or referrer column exists anywhere in the schema"
flaw_traceability,P2-8,Flaw #13,,CODE,,,Paid test formats cannot log abandonment — record_abandoned_test is wired only to the free practice engine
flaw_traceability,P2-9,Flaw #13,,CODE,,,Google signups are not tracked as signups
flaw_traceability,P2-10,Flaw #13,,CODE,,,premiumActive counts 1 of 5 plans
flaw_traceability,P2-12,Flaw #13,,CODE,,,The active-user definition covers only test submission and current-affairs completion
flaw_traceability,V-3,Flaw #13,,CODE,,,"Pricing views are not instrumented, so the checkout stage has no denominator"
flaw_traceability,V-4,Flaw #13,,CODE,,,No server-side visitor or pageview store exists — the funnel has no top
flaw_traceability,P2-11,Flaw #14,,CODE + PROD,,,"The feedback prompt is deliberately buried: once, home screen only, after 2 completed tests, non-admins only, then suppressed 3 months"
flaw_traceability,V-5,Flaw #14,,GAP,,,Microsoft Clarity behavioural data was inaccessible across all three audit stages
flaw_traceability,V-6,Flaw #14,,PROD,,,Zero written feedback — all six responses are ratings only
flaw_numbers,Flaw #1: Recent signups → new paying customers,0.00%,366 → 0,,,,Weak value proposition & conversion experience
flaw_numbers,Flaw #1: Externally-acquired paying customers,0.00%,0 / 682,,,,Weak value proposition & conversion experience
flaw_numbers,Flaw #1: Checkout people → paid,9.1% (and that 1 was founder-generated),1 / 11,,,,Weak value proposition & conversion experience
flaw_numbers,Flaw #1: Checkout attempts → paid,4.8%,1 / 21,,,,Weak value proposition & conversion experience
flaw_numbers,Flaw #1: Revenue-generating customers / all users,0.15%,1 / 682,,,,Weak value proposition & conversion experience
flaw_numbers,Flaw #1: Social-proof elements on acquisition surfaces,0,grep of LandingPage.tsx + PricingCards.tsx,,,,Weak value proposition & conversion experience
flaw_numbers,Flaw #1: Users who reached the value moment,DATA NOT AVAILABLE,no feature-usage event exists,,,,Weak value proposition & conversion experience
flaw_numbers,Flaw #2: Paid price points,5,"₹399 · ₹499 · ₹899 · ₹1,249 · ₹1,699",,,,Confusing monetization & pricing structure
flaw_numbers,Flaw #2: Distinct plan keys in the payments ledger,4 — the two Vettri variants appear to share one key (DATA GAP),"group1_mock_pack, vettri_nichayam, rank_booster_g2, premium_annual",,,,Confusing monetization & pricing structure
flaw_numbers,Flaw #2: premium_annual share of purchase intent,57%,12 / 21 attempts,,,,Confusing monetization & pricing structure
flaw_numbers,Flaw #2: premium_annual conversion,0%,0 / 12,,,,Confusing monetization & pricing structure
flaw_numbers,Flaw #2: premium_annual share of abandonments,60%,12 / 20,,,,Confusing monetization & pricing structure
flaw_numbers,Flaw #2: Shortest cross-plan checkout span,12 seconds,"two created rows, same user, different plans",,,,Confusing monetization & pricing structure
flaw_numbers,Flaw #2: Overall checkout conversion,4.8%,1 / 21 attempts,,,,Confusing monetization & pricing structure
flaw_numbers,Flaw #3: Offer expiry date,31 Aug 2026,stated in page copy,,,,Broken / expired promotional experience
flaw_numbers,Flaw #3: Date confirmed still visible,5 Sep 2026,UX walkthrough,,,,Broken / expired promotional experience
flaw_numbers,Flaw #3: Days live past expiry,"5 days at time of discovery, and counting",31 Aug → 5 Sep,,,,Broken / expired promotional experience
flaw_numbers,Flaw #3: Advertised price / MRP,31% claimed discount,"₹1,249 from ₹1,800",,,,Broken / expired promotional experience
flaw_numbers,Flaw #3: Automated expiry checks in the promotional path,0,code inspection,,,,Broken / expired promotional experience
flaw_numbers,Flaw #3: Traffic exposed to the stale offer,DATA NOT AVAILABLE,no server-side pageview store,,,,Broken / expired promotional experience
flaw_numbers,Flaw #4: Modals able to fire on entry,5,code inspection,,,,Poor first-time user experience
flaw_numbers,Flaw #4: Taps from entry to a started test,3–4,walkthrough count,,,,Poor first-time user experience
flaw_numbers,Flaw #4: Users who never start a test,49.4%,337 / 682,,,,Poor first-time user experience
flaw_numbers,Flaw #4: Users who do start,50.6%,345 / 682,,,,Poor first-time user experience
flaw_numbers,Flaw #4: Onboarding completion rate,DATA NOT AVAILABLE,no onboarding event exists,,,,Poor first-time user experience
flaw_numbers,Flaw #4: Drop-off point within first run,DATA NOT AVAILABLE,not instrumented,,,,Poor first-time user experience
flaw_numbers,Flaw #5: Registered users,682,profiles,,,,Weak activation
flaw_numbers,Flaw #5: Started ≥1 test,50.6%,345 / 682,,,,Weak activation
flaw_numbers,Flaw #5: NEVER started a test,49.4%,337 / 682,,,,Weak activation
flaw_numbers,Flaw #5: Completed ≥1 test,41.9%,286 / 682,,,,Weak activation
flaw_numbers,Flaw #5: Completion rate among starters,82.9%,286 / 345,,,,Weak activation
flaw_numbers,Flaw #5: Started but never completed,17.1%,59 / 345,,,,Weak activation
flaw_numbers,Flaw #5: Median time signup → first test,DATA NOT AVAILABLE,not computed,,,,Weak activation
flaw_numbers,Flaw #5: Activation by signup cohort,DATA NOT AVAILABLE,not computed,,,,Weak activation
flaw_numbers,Flaw #6: Test-completers who returned on a 2nd day,5.6%,16 / 286,,,,Poor retention & habit formation
flaw_numbers,Flaw #6: All registered users with 2+ active days,2.3%,16 / 682,,,,Poor retention & habit formation
flaw_numbers,Flaw #6: Completers who NEVER returned,94.4%,270 / 286,,,,Poor retention & habit formation
flaw_numbers,Flaw #6: Active in last 30 days,19.8%,135 / 682,,,,Poor retention & habit formation
flaw_numbers,Flaw #6: Active in last 7 days,2.5%,17 / 682,,,,Poor retention & habit formation
flaw_numbers,Flaw #6: 7-day / 30-day active ratio,12.6%,17 / 135,,,,Poor retention & habit formation
flaw_numbers,Flaw #6: Base registered in the last 30 days,53.7% — the immaturity confound,366 / 682,,,,Poor retention & habit formation
flaw_numbers,Flaw #6: D1 / D3 / D7 / D14 / D30 retention,DATA NOT AVAILABLE,query not run,,,,Poor retention & habit formation
flaw_numbers,Flaw #7: Free tier: signup credits,"50, plus 10/day",code,,,,Weak content engagement & surfacing
flaw_numbers,Flaw #7: Free tier: full mock exams,"1, ever",code,,,,Weak content engagement & surfacing
flaw_numbers,Flaw #7: Free tier: attempts per topic,1 per PYQ / CA topic,code,,,,Weak content engagement & surfacing
flaw_numbers,Flaw #7: Current Affairs image failure,Observed — scope and cause unknown,walkthrough observation,,,,Weak content engagement & surfacing
flaw_numbers,Flaw #7: Users affected by the image issue,DATA NOT AVAILABLE,no per-feature usage data,,,,Weak content engagement & surfacing
flaw_numbers,Flaw #7: Kural of the Day engagement,DATA NOT AVAILABLE,not instrumented,,,,Weak content engagement & surfacing
flaw_numbers,Flaw #8: All-time revenue,₹899,"89,900 paise",,,,Extremely weak monetization performance
flaw_numbers,Flaw #8: Externally-generated revenue,₹0,₹899 − ₹899 internal,,,,Extremely weak monetization performance
flaw_numbers,Flaw #8: Paid records,4,payments status=paid,,,,Extremely weak monetization performance
flaw_numbers,Flaw #8: Internal staff comps,3 (₹0),founder-confirmed,,,,Extremely weak monetization performance
flaw_numbers,Flaw #8: Revenue-bearing customers,1 (founder-generated),non-zero amount,,,,Extremely weak monetization performance
flaw_numbers,Flaw #8: Externally-acquired customers,0.00%,0 / 682,,,,Extremely weak monetization performance
flaw_numbers,Flaw #8: Overall conversion (all paid records),0.59%,4 / 682,,,,Extremely weak monetization performance
flaw_numbers,Flaw #8: Revenue-generating conversion,0.15%,1 / 682,,,,Extremely weak monetization performance
flaw_numbers,Flaw #8: Last-30-day conversion,0.00%,0 / 366,,,,Extremely weak monetization performance
flaw_numbers,Flaw #8: Revenue per day,₹10.83,₹899 / 83 days,,,,Extremely weak monetization performance
flaw_numbers,Flaw #8: ARPU,₹1.32,₹899 / 682,,,,Extremely weak monetization performance
flaw_numbers,Flaw #8: Annualised run-rate,"≈ ₹3,953 — SCENARIO, arithmetic on one transaction",₹899 / 83 × 365,,,,Extremely weak monetization performance
flaw_numbers,Flaw #9: Abandoned payment orders,20,"status=created, never completed",,,,Unused conversion & recovery mechanisms
flaw_numbers,Flaw #9: Distinct people behind them,11,distinct user_id,,,,Unused conversion & recovery mechanisms
flaw_numbers,Flaw #9: Attempts per person,"5, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1",distribution,,,,Unused conversion & recovery mechanisms
flaw_numbers,Flaw #9: Oldest unresolved attempt,79 days,18 Jun → 5 Sep,,,,Unused conversion & recovery mechanisms
flaw_numbers,Flaw #9: Recovery mechanisms in existence,0,code inspection,,,,Unused conversion & recovery mechanisms
flaw_numbers,Flaw #9: Coupon redemptions in 83 days,0,used_coupon across all plans,,,,Unused conversion & recovery mechanisms
flaw_numbers,Flaw #9: Coupon-attributed revenue,₹0,0 redemptions,,,,Unused conversion & recovery mechanisms
flaw_numbers,Flaw #9: Scenario value of abandoned attempts at list price,"₹27,630 — SCENARIO ONLY, roughly 31× all-time revenue. This is expressed intent, NOT lost revenue and NOT a forecast.","12×₹1,699 + 3×₹1,249 + 3×₹899 + 2×₹399",,,,Unused conversion & recovery mechanisms
flaw_numbers,Flaw #9: Did any of the 11 later convert?,DATA NOT AVAILABLE,query not run,,,,Unused conversion & recovery mechanisms
flaw_numbers,Flaw #10: URLs in sitemap.xml,5,direct count,,,,Weak organic discoverability
flaw_numbers,Flaw #10: Products named in the site's own structured data,7,JSON-LD,,,,Weak organic discoverability
flaw_numbers,Flaw #10: Products with their own URL,0,"5 URLs, 4 of them legal",,,,Weak organic discoverability
flaw_numbers,Flaw #10: Third-party mentions or reviews,0,web search,,,,Weak organic discoverability
flaw_numbers,Flaw #10: Competing apps ranking on these keywords,7,search results,,,,Weak organic discoverability
flaw_numbers,Flaw #10: Routes with unique title/meta,0,4 sampled,,,,Weak organic discoverability
flaw_numbers,Flaw #10: Organic sessions,DATA NOT AVAILABLE,no server-side pageview store; no attribution,,,,Weak organic discoverability
flaw_numbers,"Flaw #11: Public, indexable pricing pages",0 — CONFIRMED,sitemap + direct check,,,,Poor public product & commercial visibility
flaw_numbers,Flaw #11: App-store listings found,0 found — UNCONFIRMED ABSENCE,store search,,,,Poor public product & commercial visibility
flaw_numbers,Flaw #11: IAP product IDs present in the codebase,Real store product IDs present,code inspection,,,,Poor public product & commercial visibility
flaw_numbers,Flaw #11: Competitors with public pricing,All checked,competitor set,,,,Poor public product & commercial visibility
flaw_numbers,Flaw #11: App install count,DATA NOT AVAILABLE,no listing located; founder not yet answered,,,,Poor public product & commercial visibility
flaw_numbers,Flaw #12: Attribution columns in the schema,0,exhaustive grep,,,,No acquisition attribution
flaw_numbers,Flaw #12: Signups with a known source,0.00%,0 / 682,,,,No acquisition attribution
flaw_numbers,"Flaw #12: August signups, unattributed",100%,396 / 396,,,,No acquisition attribution
flaw_numbers,"Flaw #12: Last-30-day signups, unattributed",100%,366 / 366,,,,No acquisition attribution
flaw_numbers,Flaw #12: Channel-level conversion rates,DATA NOT AVAILABLE,no channel data exists,,,,No acquisition attribution
flaw_numbers,Flaw #12: CAC by channel,DATA NOT AVAILABLE,"no channel data, no spend data",,,,No acquisition attribution
flaw_numbers,Flaw #12: Historical attribution recoverable?,NO — permanently unrecoverable,the data was never captured,,,,No acquisition attribution
flaw_numbers,Flaw #13: Funnel stages with no data at all,2,"visitors, pricing views",,,,Incomplete product analytics & event tracking
flaw_numbers,Flaw #13: Paid formats able to log abandonment,0 of 4,"Mock, Vettri, Rank Booster, Test Series",,,,Incomplete product analytics & event tracking
flaw_numbers,Flaw #13: Authentication paths firing a signup event,1 of 2,"password/OTP yes, Google no",,,,Incomplete product analytics & event tracking
flaw_numbers,Flaw #13: Plans counted by premiumActive,1 of 5,premium_annual only,,,,Incomplete product analytics & event tracking
flaw_numbers,Flaw #13: Events writing daily_activity,2,"test submission, CA completion",,,,Incomplete product analytics & event tracking
flaw_numbers,Flaw #13: Subscription lifecycle events,0,code search,,,,Incomplete product analytics & event tracking
flaw_numbers,"Flaw #13: Reported abandonments, and their true scope","161 — a lower bound on one engine, not a rate","161 rows, free engine only",,,,Incomplete product analytics & event tracking
flaw_numbers,Flaw #13: Checkout conversion rate from pricing views,DATA NOT AVAILABLE,no denominator exists,,,,Incomplete product analytics & event tracking
flaw_numbers,Flaw #14: Feedback responses,6,app_feedback,,,,Weak customer feedback & behavioural intelligence
flaw_numbers,Flaw #14: Response rate,0.88%,6 / 682,,,,Weak customer feedback & behavioural intelligence
flaw_numbers,Flaw #14: Ratings received,"5, 4, 5, 5, 2, 5",raw values,,,,Weak customer feedback & behavioural intelligence
flaw_numbers,Flaw #14: Average rating,"4.33 — n = 6, not statistically meaningful",26 / 6,,,,Weak customer feedback & behavioural intelligence
flaw_numbers,Flaw #14: Rating distribution,5★ ×4 · 4★ ×1 · 3★ ×0 · 2★ ×1 · 1★ ×0,counts,,,,Weak customer feedback & behavioural intelligence
flaw_numbers,Flaw #14: Responses with written text,0,0 / 6,,,,Weak customer feedback & behavioural intelligence
flaw_numbers,Flaw #14: Users excluded by the 2-test gate,396 users can never have seen the prompt,682 − 286 completers,,,,Weak customer feedback & behavioural intelligence
flaw_numbers,Flaw #14: Clarity behavioural data,DATA NOT AVAILABLE,no access in any stage,,,,Weak customer feedback & behavioural intelligence
priority_matrix,#1 Weak value proposition & conversion experience,P0,"impact=5, effort=4",,,,Highest expected impact; effort is real because it is a sequencing change across the first session and the upsell trigger.
priority_matrix,#2 Confusing monetization & pricing structure,P0,"impact=5, effort=2",,,,"Copy, a comparison surface and a default recommendation. No pricing change."
priority_matrix,#3 Broken / expired promotional experience,P0,"impact=3, effort=1",,,,A constant and an expiry check. The cheapest item in the report.
priority_matrix,#4 Poor first-time user experience,P1,"impact=4, effort=3",,,,Modal arbitration plus a re-thought first screen.
priority_matrix,#5 Weak activation,P1,"impact=5, effort=3",,,,Largest absolute loss in the funnel; the fix overlaps heavily with #4.
priority_matrix,#6 Poor retention & habit formation,P1,"impact=5, effort=4",,,,"Largest proportional loss; requires a measurement change and a product change, carefully sequenced."
priority_matrix,#7 Weak content engagement & surfacing,P1,"impact=3, effort=2",,,,A bug fix and two surfacing changes.
priority_matrix,#8 Extremely weak monetization performance,P0,"impact=5, effort=inherited",,,,"OUTCOME METRIC. No independent effort — it moves when #1, #2, #3 and #9 move. Plotted on impact only."
priority_matrix,#9 Unused conversion & recovery mechanisms,P1,"impact=4, effort=2",,,,"Recovery tracking, a coupon entry surface, and a recruitment problem that needs no code."
priority_matrix,#10 Weak organic discoverability,P2,"impact=4, effort=4",,,,"High ceiling, long horizon, and explicitly not the current bottleneck."
priority_matrix,#11 Poor public product & commercial visibility,P2,"impact=3, effort=2",,,,Effort estimate is conditional on the unanswered app-store question.
priority_matrix,#12 No acquisition attribution,P1,"impact=4, effort=2",,,,"Small build, permanently compounding value. Every day of delay is another day of unrecoverable history."
priority_matrix,#13 Incomplete product analytics & event tracking,P1,"impact=4, effort=3",,,,Mostly trivial items plus one real piece of work (paid-format abandon beacon). Gates the evaluation of Phase 1.
priority_matrix,#14 Weak customer feedback & behavioural intelligence,P2,"impact=3, effort=1",,,,A form redesign and a gating change.
verification_finding,V-1,Flaw #8,,,,,Externally-acquired paying customers: 0 of 682. The single revenue-bearing record was founder-generated.
verification_finding,V-2,Flaw #2,,,,,premium_annual draws 57% of all purchase intent (12 of 21 attempts) and has converted zero times.
verification_finding,V-3,Flaw #13,,,,,"Pricing views are not instrumented on PricingCards, so the checkout funnel stage has no denominator."
verification_finding,V-4,Flaw #13,,,,,No server-side visitor or pageview store exists — the funnel has no top.
verification_finding,V-5,Flaw #14,,,,,Microsoft Clarity behavioural data was inaccessible across all three audit stages.
verification_finding,V-6,Flaw #14,,,,,Zero written feedback — all six responses are ratings only.
verification_finding,V-7,Flaw #8,,,,,366 signups in the last 30 days produced 0 new paying customers.
out_of_scope_p3,P3-1,EXCLUDED,,,P3 — OUT OF SCOPE,,"superadmin_revoke_rank_booster() writes status='revoked', which the payments check constraint forbids. Will throw the first time it is used in a refund dispute."
out_of_scope_p3,P3-2,EXCLUDED,,,P3 — OUT OF SCOPE,,"Active-today timezone mismatch — real in code, currently harmless. Production returned identical UTC and IST values. Downgraded from the P0 assigned in Stage 2."
out_of_scope_p3,P3-3,EXCLUDED,,,P3 — OUT OF SCOPE,,passed_80_percent is misnamed — the enforced attendance gate is 25%.
out_of_scope_p3,P3-4,EXCLUDED,,,P3 — OUT OF SCOPE,,in_progress is dead schema — 0 rows; sessions are written already-final.
out_of_scope_p3,P3-5,EXCLUDED,,,P3 — OUT OF SCOPE,,Habit loop ignores partial effort. CARRIED IN to Flaw #6 at the brief's explicit request.
out_of_scope_p3,P3-6,EXCLUDED,,,P3 — OUT OF SCOPE,,README contradicts production reality (states Supabase Cloud; production is self-hosted).
closed_hypothesis,Broken checkout,CLOSED,,,DISPROVED,,Tested to the final payment step on a real device — works correctly. This was the leading hypothesis going into Stage 3 and it failed.
closed_hypothesis,Signup friction,CLOSED,,,DISPROVED,,Verified working by walkthrough and founder. The 337 activation loss occurs after a clean registration.
closed_hypothesis,Payment infrastructure,CLOSED,,,DISPROVED,,"Zero failed payments in 83 days. HMAC verification, idempotency and server-side re-fetch are sound."
closed_hypothesis,Frontend performance,CLOSED,,,DISPROVED,,"~221 KB gzipped JS + 20 KB CSS, hashed and immutably cached. Measured directly."
closed_hypothesis,Consent gating suppressing analytics,CLOSED,,,DISPROVED,,The banner was removed by product decision; trackers now fire for ~100% of web sessions.
closed_hypothesis,"""The free tier is too generous""",CLOSED,,,DISPROVED,,"Never supported by evidence. The walkthrough took two full tests and still felt no urge to upgrade — absent value perception, not excess generosity."
closed_hypothesis,Paying users are 8× more engaged,CLOSED,,,DISPROVED,,RETRACTED. The comparison measured staff accounts building and testing the product.
user_journey,DISCOVERY,UNKNOWN,,,,[EXT] 5 URLs · 0 mentions · 7 rivals ranking · [CODE] no UTM column anywhere,"Current: Almost entirely non-organic. 5 sitemap URLs, zero third-party mentions, no app-store listing found, brand absent from the category's primary search. | Problem: No compounding discovery surface exists. Every acquired user arrives through a channel nobody can name. | Metric: DATA NOT AVAILABLE — no visitor store, no attribution | Fix: Per-product indexable landing pages; capture first-touch source at signup. | Flaws: #10 #11 #12"
user_journey,LANDING,UNKNOWN,,,,[EXT] identical <title> on 4 sampled routes · [CODE] zero testimonial/rating/user-count text in LandingPage.tsx,"Current: One client-rendered page carrying 7 keyword intents. Identical title/meta on every route. No social proof. | Problem: Nothing is shareable as itself, and there is no proof-of-scale at the moment of first impression. | Metric: DATA NOT AVAILABLE — landing-page views not stored server-side | Fix: Per-route SSR/prerendered meta; state a real number (682 aspirants already practising). | Flaws: #1 #10 #11"
user_journey,SIGNUP,NONE,,,,[UX][FOUNDER] verified working · [PROD] 682 accounts created,Current: Works cleanly. Confirmed end-to-end by walkthrough and by the founder. | Problem: None. This stage is CLOSED — do not spend effort here. | Metric: 682 signups · 366 in the last 30 days · 50 in the last 7 | Fix: Only instrumentation: fire trackSignUp() on the Google path too. | Flaws: #13
user_journey,ONBOARDING,MAJOR,,,,"[UX] ""When entered the application, I don't know what is so necessary and what should I do now"" · ""felt like there is too many pop up when entering the app"" · [CODE] 5 competing entry modals","Current: Signup lands the user in an app with no orientation. Up to five modals compete on entry: onboarding tour, starter-test prompt, push primer, marathon free alert, update prompt. | Problem: The user does not know what to do next, and is asked to dismiss things before they have done anything. | Metric: DATA NOT AVAILABLE — no onboarding-completion event | Fix: One question (which exam?), then one action (start this test). Sequence or suppress every other modal. | Flaws: #4 #5"
user_journey,FIRST TEST,LARGEST ABSOLUTE,,,,[PROD] 345 / 682 started · [UX] tap count measured during walkthrough,Current: 3–4 taps from entry to a test. 345 of 682 users ever reach one. | Problem: THE LARGEST ABSOLUTE LEAK. 337 registered users never start a single test. | Metric: 50.6% start rate (345 / 682) · 49.4% never start | Fix: One-tap first test from the post-signup screen. | Flaws: #4 #5
user_journey,RESULT,MINOR,,,,[PROD] 286 / 345,"Current: Works. 286 of the 345 starters complete (82.9%). | Problem: Not the bottleneck. Once a user starts, they usually finish. | Metric: 82.9% completion among starters | Fix: None required. | Flaws: none"
user_journey,REPEAT USE,LARGEST PROPORTIONAL,,,,[PROD] 16 users with ≥2 activity dates · [CODE] streaks/XP/badges written only by submit_test,"Current: 16 of 682 users have ever had two active days. | Problem: THE LARGEST PROPORTIONAL LEAK. 270 of 286 completers never come back. | Metric: 5.6% of completers (16 / 286) · 2.3% of all users (16 / 682) — FLOOR | Fix: A reason to return tomorrow; reward partial effort, not only completion. | Flaws: #6 #7"
user_journey,VALUE DISCOVERY,MAJOR,,,,"[UX] ""after checking on the Revision, Insights section, I feel good"" — reached only after wandering in unprompted, and after two tests had already produced no desire to pay","Current: Revision and Insights — the screens that actually persuade — are reached late, by accident, and by almost nobody. | Problem: The persuasive moment sits downstream of the paywall instead of upstream of it. | Metric: DATA NOT AVAILABLE — no feature-usage event on Revision/Insights | Fix: Route the first session through the value moment before any upsell. | Flaws: #1 #7"
